日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260228,2246,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・フランス国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20260228,2247,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
20260228,2248,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20260228,2249,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００ダブルインバース,ETF・ETN,-,-,-,-,-,-
20260228,224A,グローバルＸ　ウラニウムビジネス　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2250,ｉシェアーズ　ＭＳＣＩ　ジャパン気候変動アクション　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2251,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ国債先物ダブルインバース指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20260228,2252,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　米国中小型　Ｍｏａｔ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2253,グローバルＸ　スーパーディビィデンド－ＵＳ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2254,グローバルＸ　チャイナＥＶ＆バッテリー　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2255,ｉシェアーズ　米国債２０年超　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2256,ｉシェアーズ　米国総合債券　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2257,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2258,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260228,2259,ｉシェアーズ　フランス国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20260228,2264,森永乳業,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,2266,六甲バター,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20260228,2267,ヤクルト本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,2268,Ｂ－Ｒ　サーティワン　アイスクリーム,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2269,明治ホールディングス,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,226A,勝美ジャパン,PRO Market,3050,食料品,1,食品,-,-
20260228,2270,雪印メグミルク,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20260228,227A,ＩＮＳＩＧＨＴ　ＬＡＢ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2281,プリマハム,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20260228,2282,日本ハム,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20260228,2286,林兼産業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2288,丸大食品,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20260228,228A,オプロ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2291,福留ハム,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2292,Ｓ　Ｆｏｏｄｓ,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20260228,2293,滝沢ハム,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260228,2294,柿安本店,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20260228,2296,伊藤ハム米久ホールディングス,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20260228,229A,アスミホールディングス,PRO Market,2050,建設業,3,建設・資材,-,-
20260228,2300,きょくとう,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2301,学情,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20260228,2303,ドーン,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260228,2304,ＣＳＳホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260228,2305,スタジオアリス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
